segment_id,start_mile,end_mile,crash_density_vehicle,crash_density_bike,crash_density_ped,crash_density_total,mid_lat,mid_lon
1,0.0,0.25,195,0,2,197,38.8985743186701,-77.03774082261796
2,0.25,0.5,138,0,1,139,38.89963208646465,-77.04169589947725
3,0.5,0.75,149,1,3,153,38.90183804367279,-77.04812089738007
4,0.75,1.0,116,0,0,116,38.90156093337088,-77.04733616874557
5,1.0,1.25,234,0,1,235,38.90200668089862,-77.04622739204812
6,1.25,1.5,136,0,0,136,38.90076339667532,-77.04495035730307
7,1.5,1.75,40,0,0,40,38.895787584973114,-77.02960366842257
8,1.75,2.0,44,0,0,44,38.89175551204213,-77.0163045669374
9,2.0,2.25,102,0,0,102,38.89307825046582,-77.0209795934117
10,2.25,2.5,44,0,1,45,38.8934785251501,-77.02257470729288
11,2.5,2.75,33,0,0,33,38.89447369555328,-77.02610069554935
12,2.75,3.0,67,0,0,67,38.89495042875319,-77.02791245373213
13,3.0,3.25,5,0,0,5,38.895404599727456,-77.0304432897222
14,3.25,3.5,115,0,1,116,38.89543829994412,-77.03015295470252
15,3.5,3.75,109,0,0,109,38.89335178703599,-77.02309513953954
16,3.75,4.0,31,1,0,32,38.89528704505538,-77.02747421593398
17,4.0,4.06,9,0,0,9,38.89192586305786,-77.01690626777123
