stop_id,stop_name,stop_lat,stop_lon,route_ids,am_peak_trips,pm_peak_trips,total_trips,stop_spacing_m,dist_along_m,in_impact_zone
5363,7 St NW+Pennsylvania Av NW,38.893624,-77.022017,"70,74,79",192,275,1616,49.8,3527.4191965786563,False
5366,7 St NW+Pennsylvania Av NW,38.89378,-77.021812,"70,74,79",186,273,1622,11.2,3516.230180974447,False
5413,Pennsylvania Av NW+10 St NW,38.894494,-77.02558,"32,36,P6",163,199,1296,47.3,4072.8624966446832,False
5438,14 St NW+D St NW,38.894814,-77.032087,"11Y,16E,3F,52",74,102,675,0.0,6051.448687139267,False
5486,Pennsylvania Av NW+12 St NW,38.89536,-77.028693,"32,33,36,3F",190,283,1760,235.9,4544.446121781983,False
5492,Pennsylvania Av NW+14 St NW,38.895395,-77.032199,"11Y,32,33,36",172,305,1775,12.1,6039.365657631411,False
5515,14 St NW+Pennsylvania Av NW,38.895972,-77.031817,"11Y,16E,52",72,83,646,69.9,556.1539629320366,False
5564,14 St NW+Pennsylvania Av NW,38.89638,-77.032086,"16E,3F,52",74,74,647,605.7,5433.678962399318,False
5772,18 St NW+Pennsylvania Av NW,38.899318,-77.04163,"11Y,16Y,3Y,42,43",82,164,659,232.0,1206.4889678222485,True
5811,19 St NW+H St NW,38.899741,-77.043569,"11Y,16Y,3Y,42,43",113,149,676,238.7,1555.0645559304098,True
5862,H St NW+18 St NW,38.900136,-77.041866,"32,33,36,80,X2",184,273,1994,116.6,1438.4491846131048,True
5918,19 St NW+I St NW,38.900955,-77.043543,"11Y,16Y,3Y",40,56,112,336.2,2240.358527549524,True
5943,Pennsylvania Av NW+21 St NW,38.901242,-77.046826,"32,33,36,80,X2",186,271,1994,97.3,1041.5415722753023,True
5988,Pennsylvania Av NW+22 St NW,38.901996,-77.048971,"32,33,36,80,X2",189,269,1994,94.3,138.11414243339303,True
5996,Pennsylvania Av NW+22 St NW,38.90217,-77.048575,"32,33,36,38B,80,X2",222,339,2382,180.6,860.922157551873,True
6084,Pennsylvania Av NW+24 St NW,38.9029,-77.051572,"31,33,38B",167,210,1367,138.2,626.0358007461148,False
6095,Pennsylvania Av NW+24 St NW,38.90305,-77.051163,"31,33,38B",126,247,1363,113.2,2052.633586689062,False
6144,Pennsylvania Av NW+L St NW,38.90385,-77.054294,"31,33,38B",168,210,1367,36.4,1138.8906795152627,False
13537,E St NW+13 St NW,38.896235,-77.029375,D6,39,62,323,190.6,365.52122807927054,False
13746,Pennsylvania Av NW+Constitution Av NW,38.892477,-77.018326,"32,36,P6",162,191,1243,133.1,232.46067296603937,False
13752,10 St NW+Pennsylvania Av NW,38.893649,-77.025842,33,160,260,1537,34.7,4148.718715899504,False
16660,Pennsylvania Av NW+7 St NW,38.893668,-77.022606,"32,36,P6",163,199,1296,272.7,3577.200654520596,False
16684,Pennsylvania Av NW+14 St NW,38.895643,-77.031672,"32,33,36",190,273,1748,290.8,5142.9046940730295,False
18208,Pennsylvania Av NW+7 St NW,38.893424,-77.022898,P6,42,69,364,58.4,2576.5329110036123,False
19153,Pennsylvania Av NW+10 St NW,38.894074,-77.025226,"32,33,36,P6,S2",213,348,2234,361.0,4183.4614821496125,False
21626,Pennsylvania Av NW+6 St NW,38.89278,-77.020302,P6,37,60,311,222.9,3849.9455213111087,False
21712,Pennsylvania Av NW+L St NW,38.903637,-77.052894,"31,33,38B",126,251,1363,96.7,764.2368732735201,False
21743,I St NW+20 St NW,38.90141,-77.045415,"32,33,36,38B,80,X2",227,343,2382,74.5,2165.8812856841555,True
21787,Pennsylvania Av NW+13 St NW,38.895126,-77.029066,"32,33,36",168,279,1747,362.5,4780.381076621511,False
21788,Pennsylvania Av NW+7 St NW,38.893256,-77.022261,"32,33,36,S2",86,152,1161,881.3,2634.8934407372344,False
21794,10 St NW+Pennsylvania Av NW,38.893818,-77.02609,64,43,68,360,28.6,4120.127147327155,False
21949,Pennsylvania Av NW+28 St NW,38.90479,-77.05683,"31,33,38B",166,214,1367,94.4,1799.3373649500766,False
21977,Pennsylvania Av NW+26 St NW,38.904218,-77.054544,"31,33,38B",126,251,1363,31.2,1175.2639001738128,False
21979,Pennsylvania Av NW+28 St NW,38.904908,-77.056692,"31,33,38B",126,251,1363,5.6,1793.729559305303,False
27864,15 St NW+New York Av NW,38.899051,-77.033743,"11Y,32,33,36",174,299,1775,158.9,1893.697635786348,False
